,name,length,phases,kV,h,normamps,max_per_unit_loading,status
103,1477_0_2354_0,0.00418424261194223,3,2.77128,0.0,140.0,0.1035,normal
104,1477_0_2346_0,0.0411147857800171,3,2.77128,0.0,75.0,0.5401,normal
105,1477_0_1965_0,0.0763387172446783,3,2.77128,0.0,105.0,0.0453,normal
106,1477_0_1984_0,0.066107388916806,3,2.77128,0.0,75.0,0.1342,normal
107,1477_0_2102_0,0.0457363731239573,3,2.77128,0.0,75.0,0.3889,normal
108,1478_0_3337_0,0.00839857648877371,3,2.77128,0.0,75.0,0.0,unloaded
109,1478_0_3338_0,0.0865612140240776,3,2.77128,0.0,185.0,0.0,unloaded
110,1477_0_2123_0,0.0481245794067055,3,2.77128,0.0,75.0,0.4262,normal
111,1478_0_3335_0,0.0480983756411989,3,2.77128,0.0,75.0,0.066,normal
112,1477_0_4007_0,0.184592933128359,3,2.77128,0.0,75.0,0.158,normal
113,1477_0_4026_0,0.00938361482429609,3,2.77128,0.0,105.0,0.0825,normal
114,1477_0_3628_0,0.065063208457005,3,2.77128,0.0,105.0,0.3846,normal
115,1477_0_3627_0,0.0460780596815988,3,2.77128,0.0,75.0,0.5384,normal
116,1477_0_3626_0,0.0643362210253566,3,2.77128,0.0,75.0,0.5384,normal
117,1477_0_2853_0,0.0526223260642529,3,2.77128,0.0,260.0,0.0833,normal
118,1477_0_2002_0,0.0912023382692233,3,2.77128,0.0,75.0,0.1073,normal
119,1477_0_2031_0,0.0981441185430122,3,2.77128,0.0,75.0,0.1412,normal
120,1477_0_3553_0,0.0172355536641598,3,2.77128,0.0,405.0,0.3544,normal
121,1478_0_5279_0,1.70684900644128,3,2.77128,0.0,405.0,0.4254,normal
122,1477_0_3552_0,0.00185511067849411,3,2.77128,0.0,405.0,0.0773,normal
123,1477_0_3953_0,0.46285081791177,3,2.77128,0.0,405.0,0.4254,normal
